"idx","RI","Na","Mg","Al","Si","K","Ca","Ba","Fe","Class"
11,1.51841,13.02,3.62,1.06,72.34,0.64,9.13,0,0.15,"negative"
208,1.51596,13.02,3.56,1.54,73.11,0.72,7.9,0,0,"negative"
136,1.51743,12.2,3.25,1.16,73.55,0.62,8.9,0,0.24,"negative"
62,1.51994,13.27,0,1.76,73.03,0.47,11.32,0,0,"negative"
17,1.52475,11.45,0,1.88,72.19,0.81,13.24,0,0.34,"negative"
55,1.51593,13.25,3.45,1.43,73.17,0.61,7.86,0,0,"negative"
148,1.51653,11.95,0,1.19,75.18,2.7,8.93,0,0,"negative"
207,1.52065,14.36,0,2.02,73.42,0,8.44,1.64,0,"negative"
83,1.51829,13.24,3.9,1.41,72.33,0.55,8.31,0,0.1,"negative"
13,1.51747,12.84,3.5,1.14,73.27,0.56,8.55,0,0,"negative"
212,1.51631,13.34,3.57,1.57,72.87,0.61,7.89,0,0,"negative"
97,1.51748,12.86,3.56,1.27,73.21,0.54,8.38,0,0.17,"negative"
162,1.51514,14.85,0,2.42,73.72,0,8.39,0.56,0,"negative"
195,1.52614,13.7,0,1.36,71.24,0.19,13.44,0,0.1,"negative"
44,1.518,13.71,3.93,1.54,71.81,0.54,8.21,0,0.15,"negative"
41,1.51813,13.43,3.98,1.18,72.49,0.58,8.15,0,0,"negative"
115,1.52315,13.44,3.34,1.23,72.38,0.6,8.83,0,0,"negative"
209,1.51674,12.87,3.56,1.64,73.14,0.65,7.99,0,0,"negative"
60,1.51588,13.12,3.41,1.58,73.26,0.07,8.39,0,0.19,"negative"
46,1.51831,14.39,0,1.82,72.86,1.41,6.47,2.88,0,"negative"
108,1.52171,11.56,1.88,1.56,72.86,0.47,11.41,0,0,"negative"
121,1.51556,13.87,0,2.54,73.23,0.14,9.41,0.81,0.01,"negative"
156,1.52058,12.85,1.61,2.17,72.18,0.76,9.7,0.24,0.51,"negative"
177,1.51665,13.14,3.45,1.76,72.48,0.6,8.38,0,0.17,"positive"
102,1.51732,14.95,0,1.8,72.99,0,8.61,1.55,0,"negative"
199,1.51769,12.45,2.71,1.29,73.7,0.56,9.06,0,0.24,"negative"
145,1.523,13.31,3.58,0.82,71.99,0.12,10.17,0,0.03,"negative"
175,1.5172,13.38,3.5,1.15,72.85,0.5,8.43,0,0,"negative"
43,1.51567,13.29,3.45,1.21,72.74,0.56,8.57,0,0,"negative"
105,1.51892,13.46,3.83,1.26,72.55,0.57,8.21,0,0.14,"negative"
189,1.51623,14.14,0,2.88,72.61,0.08,9.18,1.06,0,"negative"
190,1.51596,12.79,3.61,1.62,72.97,0.64,8.07,0,0.26,"negative"
2,1.5175,12.82,3.55,1.49,72.75,0.54,8.52,0,0.19,"negative"
106,1.52369,13.44,0,1.58,72.22,0.32,12.24,0,0,"negative"
29,1.51783,12.69,3.54,1.34,72.95,0.57,8.75,0,0,"negative"
114,1.5161,13.42,3.4,1.22,72.69,0.59,8.32,0,0,"positive"
214,1.51789,13.19,3.9,1.3,72.33,0.55,8.44,0,0.28,"negative"
113,1.51779,13.64,3.65,0.65,73,0.06,8.93,0,0,"positive"
53,1.51625,13.36,3.58,1.49,72.72,0.45,8.21,0,0,"negative"
117,1.52043,13.38,0,1.4,72.25,0.33,12.5,0,0,"negative"
67,1.51742,13.27,3.62,1.24,73.08,0.55,8.07,0,0,"negative"
127,1.52121,14.03,3.76,0.58,71.79,0.11,9.65,0,0,"positive"
186,1.51667,12.94,3.61,1.26,72.75,0.56,8.6,0,0,"negative"
73,1.51751,12.81,3.57,1.35,73.02,0.62,8.59,0,0,"negative"
86,1.51743,13.3,3.6,1.14,73.09,0.58,8.17,0,0,"negative"
192,1.51594,13.09,3.52,1.55,72.87,0.68,8.05,0,0.09,"negative"
40,1.51629,12.71,3.33,1.49,73.28,0.67,8.24,0,0,"negative"
196,1.51609,15.01,0,2.51,73.05,0.05,8.83,0.53,0,"negative"
78,1.51811,12.96,2.96,1.43,72.92,0.6,8.79,0.14,0,"negative"
36,1.51832,13.33,3.34,1.54,72.14,0.56,8.99,0,0,"positive"
210,1.51934,13.64,3.54,0.75,72.65,0.16,8.89,0.15,0.24,"positive"
150,1.51793,13.21,3.48,1.41,72.64,0.59,8.43,0,0,"negative"
158,1.51645,13.4,3.49,1.52,72.65,0.67,8.08,0,0.1,"negative"
25,1.52152,13.12,3.58,0.9,72.2,0.23,9.82,0,0.16,"negative"
19,1.51766,13.21,3.69,1.29,72.61,0.57,8.22,0,0,"negative"
165,1.51786,12.73,3.43,1.19,72.95,0.62,8.76,0,0.3,"negative"
95,1.5164,14.37,0,2.74,72.85,0,9.45,0.54,0,"negative"
93,1.51769,13.65,3.66,1.11,72.77,0.11,8.6,0,0,"positive"
8,1.5159,13.24,3.34,1.47,73.1,0.39,8.22,0,0,"negative"
213,1.51711,12.89,3.62,1.57,72.96,0.61,8.11,0,0,"negative"
198,1.51646,13.04,3.4,1.26,73.01,0.52,8.58,0,0,"positive"
45,1.52068,13.55,2.09,1.67,72.18,0.53,9.57,0.27,0.17,"negative"
10,1.51735,13.02,3.54,1.69,72.73,0.54,8.44,0,0.07,"negative"
9,1.52152,13.05,3.65,0.87,72.22,0.19,9.85,0,0.17,"negative"
87,1.51618,13.01,3.5,1.48,72.89,0.6,8.12,0,0,"negative"
76,1.51299,14.4,1.74,1.54,74.55,0,7.59,0,0,"negative"
56,1.51645,13.44,3.61,1.54,72.39,0.66,8.03,0,0,"negative"
107,1.51754,13.39,3.66,1.19,72.79,0.57,8.27,0,0.11,"negative"
160,1.51662,12.85,3.51,1.44,73.01,0.68,8.23,0.06,0.25,"negative"
98,1.51623,14.2,0,2.79,73.46,0.04,9.04,0.4,0.09,"negative"
69,1.51613,13.92,3.52,1.25,72.88,0.37,7.94,0,0.14,"negative"
80,1.51818,13.72,0,0.56,74.45,0,10.99,0,0,"negative"
57,1.51937,13.79,2.41,1.19,72.76,0,9.77,0,0,"negative"
172,1.51905,13.6,3.62,1.11,72.64,0.14,8.76,0,0,"negative"
14,1.51593,13.09,3.59,1.52,73.1,0.67,7.83,0,0,"negative"
118,1.51911,13.9,3.73,1.18,72.12,0.06,8.89,0,0,"negative"
77,1.51872,12.93,3.66,1.56,72.51,0.58,8.55,0,0.12,"negative"
151,1.51909,13.89,3.53,1.32,71.81,0.51,8.78,0.11,0,"negative"
99,1.51763,12.8,3.66,1.27,73.01,0.6,8.56,0,0,"negative"
171,1.52664,11.23,0,0.77,73.21,0,14.68,0,0,"negative"
58,1.51736,12.78,3.62,1.29,72.79,0.59,8.7,0,0,"negative"
193,1.52725,13.8,3.15,0.66,70.57,0.08,11.64,0,0,"negative"
204,1.51763,12.61,3.59,1.31,73.29,0.58,8.5,0,0,"negative"
61,1.5159,12.82,3.52,1.9,72.86,0.69,7.97,0,0,"negative"
146,1.51779,13.21,3.39,1.33,72.76,0.59,8.59,0,0,"negative"
4,1.51646,13.41,3.55,1.25,72.81,0.68,8.1,0,0,"negative"
139,1.51602,14.85,0,2.38,73.28,0,8.76,0.64,0.09,"negative"
31,1.51674,12.79,3.52,1.54,73.36,0.66,7.9,0,0,"negative"
103,1.51651,14.38,0,1.94,73.61,0,8.48,1.57,0,"negative"
152,1.51727,14.7,0,2.34,73.28,0,8.95,0.66,0,"negative"
125,1.51916,14.15,0,2.09,72.74,0,10.88,0,0,"negative"
132,1.519,13.49,3.48,1.35,71.95,0.55,9,0,0,"negative"
128,1.51918,14.04,3.58,1.37,72.08,0.56,8.3,0,0,"negative"
82,1.51808,13.43,2.87,1.19,72.84,0.55,9.03,0,0,"negative"
166,1.51969,14.56,0,0.56,73.48,0,11.22,0,0,"negative"
35,1.51966,14.77,3.75,0.29,72.02,0.03,9,0,0,"negative"
119,1.51806,13,3.8,1.08,73.07,0.56,8.38,0,0.12,"negative"
182,1.51915,12.73,1.85,1.86,72.69,0.6,10.09,0,0,"negative"
122,1.51645,14.94,0,1.87,73.11,0,8.67,1.38,0,"negative"
116,1.51839,12.85,3.67,1.24,72.57,0.62,8.68,0,0.35,"negative"
137,1.51969,12.64,0,1.65,73.75,0.38,11.53,0,0,"negative"
205,1.51768,12.56,3.52,1.43,73.15,0.57,8.54,0,0,"negative"
133,1.52099,13.69,3.59,1.12,71.96,0.09,9.4,0,0,"negative"
96,1.51776,13.53,3.41,1.52,72.04,0.58,8.79,0,0,"positive"
75,1.51571,12.72,3.46,1.56,73.2,0.67,8.09,0,0.24,"negative"
6,1.51846,13.41,3.89,1.33,72.38,0.51,8.28,0,0,"negative"
184,1.5182,12.62,2.76,0.83,73.81,0.35,9.42,0,0.2,"negative"
112,1.51514,14.01,2.68,3.5,69.89,1.68,5.87,2.2,0,"negative"
176,1.52213,14.21,3.82,0.47,71.77,0.11,9.57,0,0,"negative"
71,1.51508,15.15,0,2.25,73.5,0,8.34,0.63,0,"negative"
59,1.52667,13.99,3.7,0.71,71.57,0.02,9.82,0,0.1,"negative"
32,1.52172,13.48,3.74,0.9,72.01,0.18,9.61,0,0.07,"negative"
153,1.51215,12.99,3.47,1.12,72.98,0.62,8.35,0,0.31,"negative"
124,1.51627,13,3.58,1.54,72.83,0.61,8.04,0,0,"negative"
109,1.51754,13.48,3.74,1.17,72.99,0.59,8.03,0,0,"negative"
68,1.53125,10.73,0,2.1,69.81,0.58,13.3,3.15,0.28,"negative"
51,1.52101,13.64,4.49,1.1,71.78,0.06,8.75,0,0,"negative"
100,1.5166,12.99,3.18,1.23,72.97,0.58,8.81,0,0.24,"negative"
52,1.51756,13.15,3.61,1.05,73.24,0.57,8.24,0,0,"negative"
101,1.52152,13.05,3.65,0.87,72.32,0.19,9.85,0,0.17,"negative"
138,1.51708,13.72,3.68,1.81,72.06,0.64,7.88,0,0,"negative"
16,1.51778,13.21,2.81,1.29,72.98,0.51,9.02,0,0.09,"negative"
39,1.52739,11.02,0,0.75,73.08,0,14.96,0,0,"negative"
179,1.51618,13.53,3.55,1.54,72.99,0.39,7.78,0,0,"negative"
131,1.52365,15.79,1.83,1.31,70.43,0.31,8.61,1.68,0,"negative"
90,1.51844,13.25,3.76,1.32,72.4,0.58,8.42,0,0,"negative"
168,1.52151,11.03,1.71,1.56,73.44,0.58,11.62,0,0,"negative"
169,1.51652,13.56,3.57,1.47,72.45,0.64,7.96,0,0,"negative"
191,1.51719,14.75,0,2,73.02,0,8.53,1.59,0.08,"negative"
37,1.5221,13.73,3.84,0.72,71.76,0.17,9.74,0,0,"negative"
178,1.5232,13.72,3.72,0.51,71.75,0.09,10.06,0,0.16,"negative"
163,1.51643,12.16,3.52,1.35,72.89,0.57,8.53,0,0,"positive"
7,1.51811,13.33,3.85,1.25,72.78,0.52,8.12,0,0,"negative"
94,1.52196,14.36,3.85,0.89,71.36,0.15,9.15,0,0,"negative"
28,1.51687,13.23,3.54,1.48,72.84,0.56,8.1,0,0,"negative"
147,1.51869,13.19,3.37,1.18,72.72,0.57,8.83,0,0.16,"negative"
129,1.51617,14.95,0,2.27,73.3,0,8.71,0.67,0,"negative"
24,1.51409,14.25,3.09,2.08,72.28,1.1,7.08,0,0,"negative"
54,1.51689,12.67,2.88,1.71,73.21,0.73,8.54,0,0,"negative"
33,1.51768,12.65,3.56,1.3,73.08,0.61,8.69,0,0.14,"negative"
72,1.51847,13.1,3.97,1.19,72.44,0.6,8.43,0,0,"negative"
120,1.52177,13.2,3.68,1.15,72.75,0.54,8.52,0,0,"negative"
141,1.51694,12.86,3.58,1.31,72.61,0.61,8.79,0,0,"positive"
0,1.66140835128175,13.905485834026,3.83034676562468,0.472128261179894,72.8128846735695,-0.204632633334484,9.14014861643356,0.153373836769775,0.0710589321500432,"positive"
0,1.54617938731153,13.4874081827818,3.42136064231377,0.928699840404984,72.6209790957871,0.351261352313696,8.78349122756951,0.0217200736543948,0.151066526729326,"positive"
0,1.50410593526392,14.048303316131,3.77729112457762,0.59068469172061,71.7822866849376,0.106581121742714,9.62696463459445,0,-0.0199106327830618,"positive"
0,1.31551130559048,14.2860499668138,3.96885576794332,0.719081759247295,71.6735353782569,0.0679472373988232,9.33855380827633,0,-0.239445905968537,"positive"
0,1.39879230276163,14.1662117079367,3.88000739903869,0.672510187669607,71.7471899904734,0.0818681060633953,9.4561413993332,0,-0.142386877329123,"positive"
0,1.35265252416287,11.9899093441348,3.40545289944451,1.48835698043163,72.921550374621,0.417317135178376,8.38472316155173,0,-0.0359624517383247,"positive"
0,1.5324177939997,13.401584747249,3.31407222956012,1.59211061376355,72.0841056237476,0.491460300661357,8.96034664947871,0.0475853535107795,-0.0576627316037133,"positive"
0,1.48996333151241,13.0729098083575,3.37904180072749,1.26416849423797,72.97732458423,0.514159890092885,8.6043760546682,0,-0.0203974266299038,"positive"
0,1.48876867843273,13.4794364901567,3.46029894536418,1.2783384666586,72.6524150428755,0.644525963614824,8.20732264932414,0,0.0765939499402517,"positive"
0,1.63097407696411,13.1026132372072,3.46189969073199,1.72241540485472,72.4076288193166,0.519406101455935,8.50143402552982,0,0.16821984770057,"positive"
0,1.54305498294766,12.7101739036948,3.7955186885535,1.48706876491,72.4925617937076,0.595694131739263,8.69836787873249,0,0.116602988178094,"positive"
0,1.41679283699739,12.0590620661879,3.44573967743703,1.4312363185927,72.9066579133524,0.477379507431241,8.4453794055859,0,-0.0218778929637967,"positive"
0,1.43064022813865,12.0725962514476,3.45882205680034,1.42318077536405,72.8985751582949,0.489784534900116,8.45966043546504,0,-0.0188387460302919,"positive"
0,1.68468890354692,13.0821765677267,3.46709713569535,1.70881002616152,72.3740206994721,0.48128447088382,8.55847992904138,0,0.166992447643948,"positive"
0,1.44493549115097,13.3437533695742,3.62877571239547,1.43976743808956,72.6380933158671,0.469549013388822,8.30357706645957,0,0.151664730126744,"positive"
0,1.40271529278963,13.4543249321188,3.57230103207515,1.31454421755344,72.7287475259131,0.32055537563375,8.39505261646136,-0.141592968272326,-0.0949234068058238,"positive"
0,1.55788546311134,13.5340146885637,3.2683552554166,1.69076344135754,71.974799363257,0.366525949381264,8.90244822943385,0.133553494619046,-0.16474820351961,"positive"
0,1.49048360494266,13.6067119406686,3.63906938903457,1.15513294833403,72.7618583115997,0.156555600494352,8.5542073934066,-0.0334719839569333,-0.0224394953260045,"positive"
0,1.52310922554446,13.354983217857,3.33144235576878,1.55806517989948,72.1193097349495,0.536675015983997,8.98030269339928,0.0161630198668163,-0.0199382913498845,"positive"
0,1.47649808167774,14.074929655498,3.80400508578809,0.610034930727692,71.7727942399488,0.101173786744347,9.58824251624871,0,-0.0512167670386248,"positive"
0,1.52458222091757,12.815601992184,3.64369928685031,1.36288620849845,72.5742953947115,0.605736688541747,8.76341394913054,0,0.0345759718691081,"positive"
0,1.40084528742229,12.0410003195142,3.43819786310595,1.44735292550385,72.9055815567482,0.463169709099294,8.43337327245513,0,-0.0210411949441445,"positive"
0,1.50053113426181,14.0554628776057,3.78127116200537,0.593592808940128,71.7791594249304,0.104897929953125,9.62073101373637,0,-0.024066700741284,"positive"
0,1.4024152401642,13.1853784041301,3.30869004362565,1.279852763684,72.8642176881768,0.495174817669678,8.68532192790453,0,-0.0877955517005695,"positive"
0,1.55533132824587,13.435376022657,3.38090590385682,0.989634554203766,72.611083281172,0.416479405881011,8.74717288755083,-0.0220219944990152,0.120741173731814,"positive"
0,1.55822523601906,13.125042797327,3.45426387230886,1.74668476124998,72.4538482857156,0.570627501259489,8.42441856275441,0,0.169643862090411,"positive"
0,1.54144743668701,13.4511584841204,3.29789180920714,1.62913700031167,72.0410023080744,0.447623625983747,8.94085210079237,0.0780977116836912,-0.0963393562675492,"positive"
0,1.54152969339721,12.7156722202154,3.78370438984584,1.47938443939881,72.4980594697032,0.595773359545438,8.70403740148173,0,0.112194256742795,"positive"
0,1.9023179353121,14.0875653261744,3.79331950229997,0.725785426215954,71.3965348676509,0.0822881160649362,9.87343325676651,0,0.378726736510441,"positive"
0,1.52987477726673,13.5773231014062,3.49718432006596,0.819343559030924,72.6427498755402,0.234506267616438,8.84465074619248,0.0995753501805066,0.205042622604048,"positive"
0,1.37917098958163,13.4158015564332,3.55067471562508,1.36409106435067,72.7186263227521,0.36417359035183,8.35060236459426,-0.170373551551247,-0.110757499089956,"positive"
0,1.53293271684019,12.7692847560934,3.71118445898257,1.41884170380476,72.5372699496247,0.601158746094316,8.73469390903305,0,0.0714091134544041,"positive"
0,1.716192284799,13.9909609685651,3.90249597728557,0.408444115858679,72.7543543405913,-0.272990883617781,9.18341604118006,0.212008705323063,0.106700479934548,"positive"
0,1.46715051931649,13.5695567443234,3.61978777018964,1.1950474627256,72.7506925851552,0.197709224995635,8.5144388624887,-0.0604067296221951,-0.0388280588015761,"positive"
0,1.53079490487641,12.7814110343023,3.69364849503863,1.40429238745799,72.5469920733497,0.602340592716329,8.742086900738,0,0.0618635647780081,"positive"
0,1.426880273185,13.5005781350465,3.58449217340533,1.2729185293743,72.7361014392137,0.277270221872566,8.43381254371655,-0.111676121087388,-0.0748672621375257,"positive"
0,1.55215832442581,13.4968362051204,3.28097919892233,1.66721186498381,72.0040022239933,0.395976138397456,8.91815088388648,0.114308903200163,-0.141008563663883,"positive"
0,1.53646177515464,13.5575873576177,3.40842170944761,1.49366337569095,72.0104537440325,0.557918804666471,8.81015316610453,0.0209189890862289,-0.0265902003904461,"positive"
0,1.50842235262429,13.4363701273668,3.41675000429204,1.23658764768996,72.6790615817074,0.605517754349726,8.2888583815973,0,0.0215009579240553,"positive"
0,1.52692163499797,13.374870829132,3.32463013874873,1.57244576439872,72.1028394807629,0.518107423219796,8.97258326089085,0.0290294111372598,-0.0358099452787641,"positive"
0,1.55063471850271,13.4999350991097,3.28028303784476,1.66007706987663,72.0023692639859,0.403222936352753,8.92320249762931,0.109059083952371,-0.134532519795892,"positive"
0,1.6694959588377,13.0914759457228,3.46424090510198,1.71031245438659,72.3780021780738,0.491660653529522,8.54425555231258,0,0.166411302517514,"positive"
0,1.5302554686265,13.57992995546,3.4950265240455,0.816373572081842,72.6451388992823,0.231978855518634,8.84758055824483,0.0976382155769722,0.203792721146342,"positive"
0,1.4701505465204,13.3087955498971,3.60908066951408,1.41716414020792,72.6606515870652,0.500540972884089,8.35011415120204,0,0.133500215621987,"positive"
0,1.54128660113844,12.7155236622975,3.78153672008595,1.47581696720383,72.5016372774447,0.596292437598734,8.70776081262817,0,0.10870751659021,"positive"
0,1.47751467315277,14.0739081134468,3.80300456519428,0.609352042234498,71.7731854383059,0.101374463733597,9.58964666381958,0,-0.0500522782243724,"positive"
0,1.52677626931991,14.316293910687,3.89854320917365,0.829006961058895,71.4979403981079,0.00129382074501549,9.4956599351698,0,0.00547076626088749,"positive"
0,1.71832721714945,13.8153220981833,3.39207904545201,1.25014542756421,71.7392928645827,0.344661749014181,8.98706200312702,0.22442743201991,-0.280079358130006,"positive"
0,1.60894117919368,14.2515714849657,3.87484016423918,0.808625033855764,71.4728551666697,0.0198466969400217,9.59324877370336,0,0.0894544515034559,"positive"
0,1.51948036958848,13.5325033434494,3.4098411960118,1.51759913118003,72.0373649912724,0.577958054285864,8.79174641293512,0.0019244548483961,-0.00244618130686369,"positive"
0,1.62478473581003,14.2503276258686,3.87261315988032,0.811331431925082,71.4612806542233,0.0243230951529254,9.59640356651006,0,0.102847298465131,"positive"
0,1.46661959551371,14.0884180103647,3.81518743639484,0.614101931432078,71.7653817004505,0.099088093980317,9.57647888473397,0,-0.0635480228809522,"positive"
0,1.43112101227718,12.0755125933838,3.46189340674495,1.42117670509711,72.8998817177059,0.490920548266671,8.45570623331104,0,-0.0187321253736493,"positive"
0,1.49317181360879,13.2740158200371,3.58926977469359,1.39959491461795,72.6797037278384,0.530345401837372,8.39527337593675,0,0.116938420115584,"positive"
0,1.53658691193504,14.3080449476297,3.89560435946918,0.826265608868765,71.4952575632558,0.00346738930658419,9.50803845218874,0,0.0156284650038652,"positive"
0,1.62509774277771,13.8383638256151,3.78475021933986,0.517099053662802,72.8601924953241,-0.137726337163811,9.08701735520627,0.114596777348004,0.0530933097697024,"positive"
0,1.65904078554985,13.7323980441572,3.39803511195902,1.32240541587185,71.8317574968271,0.414045145904868,8.92980275147253,0.158057236021779,-0.200907107014354,"positive"
0,1.47631582273189,13.5067051183911,3.49078531811876,1.30565392204973,72.6342167038502,0.670653822923338,8.15302208461107,0,0.113551056450056,"positive"
0,1.56788784432557,13.3639875969715,3.32540176789492,1.07323733520028,72.5975061660848,0.505958953900423,8.69734391425386,-0.082036365884103,0.0791346134111257,"positive"
0,1.41257031132289,13.1692215154574,3.31836764228434,1.27752688145385,72.8813329626797,0.496919207345363,8.67403329452113,0,-0.0784328598629713,"positive"
0,1.50732634479704,13.6324778424935,3.65182054832182,1.12901047497473,72.7661563465123,0.129016649369269,8.58134067595508,-0.0127469344362741,-0.00828660649713964,"positive"
0,1.26954815972954,11.9098950983582,3.33599711853553,1.551288065884,72.9312751244572,0.340504127545937,8.32032634567099,0,-0.0542092359253625,"positive"
0,1.44894883748899,13.1252760559266,3.34654526691512,1.27145056803237,72.9243086580825,0.505361168084236,8.64174944066888,0,-0.0519725883657944,"positive"
0,1.42308462999264,14.1419532112498,3.85564478545776,0.64111555058727,71.7407015890403,0.0864233182427051,9.51979073576711,0,-0.111738963596062,"positive"
0,1.39285451738609,13.4513744280834,3.56396070792301,1.31709077315065,72.732642180318,0.323618557101882,8.38988241065428,-0.15358489290853,-0.102962749115802,"positive"
0,1.53256014809386,13.4048854110384,3.3136844873108,1.59291444075481,72.0793501737314,0.49091294903682,8.9605643010327,0.0480591377063178,-0.0592845333055649,"positive"
0,1.35244341018172,11.9938725526667,3.39777956849706,1.48370178810751,72.9174162202317,0.417561710250199,8.39072824347678,0,-0.0360074589784171,"positive"
0,1.44766827855756,13.5325612049254,3.60267739147559,1.23542581831253,72.7447402862195,0.238396916132629,8.47623792399809,-0.0861024295485304,-0.0577227530909976,"positive"
0,1.69051057789846,14.2020154601212,3.85437822900606,0.788033093721736,71.4478267906535,0.0387544022930562,9.67525133418471,0,0.168144366040931,"positive"
0,1.43680230117393,14.1203259441157,3.84533082973159,0.632728416006314,71.7519351782876,0.0931280078322362,9.53632163082268,0,-0.0982579709163813,"positive"
0,1.48691596660142,13.481156245878,3.46701021241806,1.28419688817983,72.646627574378,0.649167522691799,8.19682398180126,0,0.0818042870497386,"positive"
0,1.494974279436,13.2720279027985,3.58856804923345,1.39875560899087,72.6811022259544,0.532040052306513,8.39713071523965,0,0.115625845364066,"positive"
0,1.29782445648789,11.9442369692195,3.36587405779621,1.53704610047306,72.9159334072123,0.368540461304683,8.34138829416211,0,-0.0479998674864488,"positive"
0,1.56759394101492,13.3876007890397,3.3454601487818,1.06905504502842,72.5854452715158,0.477709110521683,8.70078222200744,-0.0812668203165954,0.0799936557212422,"positive"
0,1.48413299033395,13.4896684850117,3.47294696889872,1.28882383756856,72.645177528111,0.654806204728564,8.18583146864434,0,0.091239481833882,"positive"
0,1.22927211693261,11.8756076343494,3.32440787358075,1.58958732256684,72.923262768827,0.303811306873597,8.27992036200428,0,-0.0630540534032319,"positive"
0,1.56091008615744,13.4088471310574,3.35591929748355,1.02789137785104,72.5916509255287,0.457001858556069,8.72785192795327,-0.0495339859070318,0.10170219994891,"positive"
0,1.78362398814829,13.0551538290034,3.47798106609333,1.67454496392344,72.3113755932461,0.409522516066227,8.65883366203275,0,0.163787892227602,"positive"
0,1.45628515915063,13.1145848981641,3.35261176270734,1.26994168518418,72.9356311494598,0.506841435730903,8.63451846866375,0,-0.046323811061681,"positive"
0,1.50210224470825,12.1453426758091,3.51027610325876,1.36153797528861,72.8920379531246,0.556755306423487,8.51805336415714,0,-0.0031462557569174,"positive"
0,1.4823997128798,13.4932868616971,3.47435029319079,1.29193296788479,72.6436566922541,0.657232044553808,8.18106566195952,0,0.0944424914947346,"positive"
0,1.50354049121748,13.6273426237609,3.64900795700485,1.13501505187193,72.7645531640774,0.134489261996206,8.5756216339556,-0.0174134172549731,-0.0116738910847203,"positive"
0,1.6026049225368,13.7986028427115,3.75794883995381,0.54482187664861,72.8939793854643,-0.0974155613270451,9.04868385837465,0.0906264128445944,0.0419877096182479,"positive"
0,1.54073628289048,12.7248329661622,3.77487426082578,1.47008792630047,72.5013490409933,0.596612645831946,8.71061283339985,0,0.108113363649768,"positive"
0,1.5201284514331,13.5334731905605,3.40974835484269,1.51662311935837,72.036419534939,0.577223921951984,8.79248716401888,0.00264753862878919,-0.00336529563597665,"positive"
0,1.25013063350162,14.316790285414,4.01571419813695,0.778735398457397,71.6824195781013,0.0500232650323639,9.26018962637376,0,-0.31546643749434,"positive"
0,1.48207400736116,14.0769420805504,3.79937063786032,0.601807820402882,71.7724503105311,0.101550092378491,9.59549510524826,0,-0.0455583651694829,"positive"
0,1.53034505094747,12.7812543185133,3.69118624881775,1.40138010181781,72.550800454476,0.602790885138909,8.74362691786643,0,0.0598632286715048,"positive"
0,1.4752485121585,13.5071027316523,3.48912399374393,1.30826012120185,72.6317984911241,0.672567396250897,8.15430061537254,0,0.114403029760599,"positive"
0,1.44350249730609,14.1186580551404,3.83574307666875,0.628398663990196,71.7509595724106,0.091329139843947,9.5468846002783,0,-0.0884883880081579,"positive"
0,1.52679841598168,13.6009876774996,3.50993076410172,0.799315044467336,72.6400220374027,0.209107008828709,8.86075337537796,0.114254025424621,0.21526846822792,"positive"
0,1.41713391631461,14.1487425003544,3.86144506659823,0.644821841251881,71.7377119368394,0.0849935342571253,9.51189432681988,0,-0.118515259868776,"positive"
