"idx","RI","Na","Mg","Al","Si","K","Ca","Ba","Fe","Class"
11,1.51841,13.02,3.62,1.06,72.34,0.64,9.13,0,0.15,"negative"
208,1.51596,13.02,3.56,1.54,73.11,0.72,7.9,0,0,"negative"
136,1.51743,12.2,3.25,1.16,73.55,0.62,8.9,0,0.24,"negative"
62,1.51994,13.27,0,1.76,73.03,0.47,11.32,0,0,"negative"
17,1.52475,11.45,0,1.88,72.19,0.81,13.24,0,0.34,"negative"
55,1.51593,13.25,3.45,1.43,73.17,0.61,7.86,0,0,"negative"
148,1.51653,11.95,0,1.19,75.18,2.7,8.93,0,0,"negative"
207,1.52065,14.36,0,2.02,73.42,0,8.44,1.64,0,"negative"
83,1.51829,13.24,3.9,1.41,72.33,0.55,8.31,0,0.1,"negative"
13,1.51747,12.84,3.5,1.14,73.27,0.56,8.55,0,0,"negative"
212,1.51631,13.34,3.57,1.57,72.87,0.61,7.89,0,0,"negative"
97,1.51748,12.86,3.56,1.27,73.21,0.54,8.38,0,0.17,"negative"
162,1.51514,14.85,0,2.42,73.72,0,8.39,0.56,0,"negative"
195,1.52614,13.7,0,1.36,71.24,0.19,13.44,0,0.1,"negative"
44,1.518,13.71,3.93,1.54,71.81,0.54,8.21,0,0.15,"negative"
41,1.51813,13.43,3.98,1.18,72.49,0.58,8.15,0,0,"negative"
115,1.52315,13.44,3.34,1.23,72.38,0.6,8.83,0,0,"negative"
209,1.51674,12.87,3.56,1.64,73.14,0.65,7.99,0,0,"negative"
60,1.51588,13.12,3.41,1.58,73.26,0.07,8.39,0,0.19,"negative"
46,1.51831,14.39,0,1.82,72.86,1.41,6.47,2.88,0,"negative"
108,1.52171,11.56,1.88,1.56,72.86,0.47,11.41,0,0,"negative"
121,1.51556,13.87,0,2.54,73.23,0.14,9.41,0.81,0.01,"negative"
156,1.52058,12.85,1.61,2.17,72.18,0.76,9.7,0.24,0.51,"negative"
177,1.51665,13.14,3.45,1.76,72.48,0.6,8.38,0,0.17,"positive"
102,1.51732,14.95,0,1.8,72.99,0,8.61,1.55,0,"negative"
199,1.51769,12.45,2.71,1.29,73.7,0.56,9.06,0,0.24,"negative"
145,1.523,13.31,3.58,0.82,71.99,0.12,10.17,0,0.03,"negative"
175,1.5172,13.38,3.5,1.15,72.85,0.5,8.43,0,0,"negative"
43,1.51567,13.29,3.45,1.21,72.74,0.56,8.57,0,0,"negative"
105,1.51892,13.46,3.83,1.26,72.55,0.57,8.21,0,0.14,"negative"
189,1.51623,14.14,0,2.88,72.61,0.08,9.18,1.06,0,"negative"
190,1.51596,12.79,3.61,1.62,72.97,0.64,8.07,0,0.26,"negative"
2,1.5175,12.82,3.55,1.49,72.75,0.54,8.52,0,0.19,"negative"
106,1.52369,13.44,0,1.58,72.22,0.32,12.24,0,0,"negative"
29,1.51783,12.69,3.54,1.34,72.95,0.57,8.75,0,0,"negative"
114,1.5161,13.42,3.4,1.22,72.69,0.59,8.32,0,0,"positive"
214,1.51789,13.19,3.9,1.3,72.33,0.55,8.44,0,0.28,"negative"
113,1.51779,13.64,3.65,0.65,73,0.06,8.93,0,0,"positive"
53,1.51625,13.36,3.58,1.49,72.72,0.45,8.21,0,0,"negative"
117,1.52043,13.38,0,1.4,72.25,0.33,12.5,0,0,"negative"
67,1.51742,13.27,3.62,1.24,73.08,0.55,8.07,0,0,"negative"
127,1.52121,14.03,3.76,0.58,71.79,0.11,9.65,0,0,"positive"
186,1.51667,12.94,3.61,1.26,72.75,0.56,8.6,0,0,"negative"
73,1.51751,12.81,3.57,1.35,73.02,0.62,8.59,0,0,"negative"
86,1.51743,13.3,3.6,1.14,73.09,0.58,8.17,0,0,"negative"
192,1.51594,13.09,3.52,1.55,72.87,0.68,8.05,0,0.09,"negative"
40,1.51629,12.71,3.33,1.49,73.28,0.67,8.24,0,0,"negative"
196,1.51609,15.01,0,2.51,73.05,0.05,8.83,0.53,0,"negative"
78,1.51811,12.96,2.96,1.43,72.92,0.6,8.79,0.14,0,"negative"
36,1.51832,13.33,3.34,1.54,72.14,0.56,8.99,0,0,"positive"
210,1.51934,13.64,3.54,0.75,72.65,0.16,8.89,0.15,0.24,"positive"
150,1.51793,13.21,3.48,1.41,72.64,0.59,8.43,0,0,"negative"
158,1.51645,13.4,3.49,1.52,72.65,0.67,8.08,0,0.1,"negative"
25,1.52152,13.12,3.58,0.9,72.2,0.23,9.82,0,0.16,"negative"
19,1.51766,13.21,3.69,1.29,72.61,0.57,8.22,0,0,"negative"
165,1.51786,12.73,3.43,1.19,72.95,0.62,8.76,0,0.3,"negative"
95,1.5164,14.37,0,2.74,72.85,0,9.45,0.54,0,"negative"
93,1.51769,13.65,3.66,1.11,72.77,0.11,8.6,0,0,"positive"
8,1.5159,13.24,3.34,1.47,73.1,0.39,8.22,0,0,"negative"
213,1.51711,12.89,3.62,1.57,72.96,0.61,8.11,0,0,"negative"
198,1.51646,13.04,3.4,1.26,73.01,0.52,8.58,0,0,"positive"
45,1.52068,13.55,2.09,1.67,72.18,0.53,9.57,0.27,0.17,"negative"
10,1.51735,13.02,3.54,1.69,72.73,0.54,8.44,0,0.07,"negative"
9,1.52152,13.05,3.65,0.87,72.22,0.19,9.85,0,0.17,"negative"
87,1.51618,13.01,3.5,1.48,72.89,0.6,8.12,0,0,"negative"
76,1.51299,14.4,1.74,1.54,74.55,0,7.59,0,0,"negative"
56,1.51645,13.44,3.61,1.54,72.39,0.66,8.03,0,0,"negative"
107,1.51754,13.39,3.66,1.19,72.79,0.57,8.27,0,0.11,"negative"
160,1.51662,12.85,3.51,1.44,73.01,0.68,8.23,0.06,0.25,"negative"
98,1.51623,14.2,0,2.79,73.46,0.04,9.04,0.4,0.09,"negative"
69,1.51613,13.92,3.52,1.25,72.88,0.37,7.94,0,0.14,"negative"
80,1.51818,13.72,0,0.56,74.45,0,10.99,0,0,"negative"
57,1.51937,13.79,2.41,1.19,72.76,0,9.77,0,0,"negative"
172,1.51905,13.6,3.62,1.11,72.64,0.14,8.76,0,0,"negative"
14,1.51593,13.09,3.59,1.52,73.1,0.67,7.83,0,0,"negative"
118,1.51911,13.9,3.73,1.18,72.12,0.06,8.89,0,0,"negative"
77,1.51872,12.93,3.66,1.56,72.51,0.58,8.55,0,0.12,"negative"
151,1.51909,13.89,3.53,1.32,71.81,0.51,8.78,0.11,0,"negative"
99,1.51763,12.8,3.66,1.27,73.01,0.6,8.56,0,0,"negative"
171,1.52664,11.23,0,0.77,73.21,0,14.68,0,0,"negative"
58,1.51736,12.78,3.62,1.29,72.79,0.59,8.7,0,0,"negative"
193,1.52725,13.8,3.15,0.66,70.57,0.08,11.64,0,0,"negative"
204,1.51763,12.61,3.59,1.31,73.29,0.58,8.5,0,0,"negative"
61,1.5159,12.82,3.52,1.9,72.86,0.69,7.97,0,0,"negative"
146,1.51779,13.21,3.39,1.33,72.76,0.59,8.59,0,0,"negative"
4,1.51646,13.41,3.55,1.25,72.81,0.68,8.1,0,0,"negative"
139,1.51602,14.85,0,2.38,73.28,0,8.76,0.64,0.09,"negative"
31,1.51674,12.79,3.52,1.54,73.36,0.66,7.9,0,0,"negative"
103,1.51651,14.38,0,1.94,73.61,0,8.48,1.57,0,"negative"
152,1.51727,14.7,0,2.34,73.28,0,8.95,0.66,0,"negative"
125,1.51916,14.15,0,2.09,72.74,0,10.88,0,0,"negative"
132,1.519,13.49,3.48,1.35,71.95,0.55,9,0,0,"negative"
128,1.51918,14.04,3.58,1.37,72.08,0.56,8.3,0,0,"negative"
82,1.51808,13.43,2.87,1.19,72.84,0.55,9.03,0,0,"negative"
166,1.51969,14.56,0,0.56,73.48,0,11.22,0,0,"negative"
35,1.51966,14.77,3.75,0.29,72.02,0.03,9,0,0,"negative"
119,1.51806,13,3.8,1.08,73.07,0.56,8.38,0,0.12,"negative"
182,1.51915,12.73,1.85,1.86,72.69,0.6,10.09,0,0,"negative"
122,1.51645,14.94,0,1.87,73.11,0,8.67,1.38,0,"negative"
116,1.51839,12.85,3.67,1.24,72.57,0.62,8.68,0,0.35,"negative"
137,1.51969,12.64,0,1.65,73.75,0.38,11.53,0,0,"negative"
205,1.51768,12.56,3.52,1.43,73.15,0.57,8.54,0,0,"negative"
133,1.52099,13.69,3.59,1.12,71.96,0.09,9.4,0,0,"negative"
96,1.51776,13.53,3.41,1.52,72.04,0.58,8.79,0,0,"positive"
75,1.51571,12.72,3.46,1.56,73.2,0.67,8.09,0,0.24,"negative"
6,1.51846,13.41,3.89,1.33,72.38,0.51,8.28,0,0,"negative"
184,1.5182,12.62,2.76,0.83,73.81,0.35,9.42,0,0.2,"negative"
112,1.51514,14.01,2.68,3.5,69.89,1.68,5.87,2.2,0,"negative"
176,1.52213,14.21,3.82,0.47,71.77,0.11,9.57,0,0,"negative"
71,1.51508,15.15,0,2.25,73.5,0,8.34,0.63,0,"negative"
59,1.52667,13.99,3.7,0.71,71.57,0.02,9.82,0,0.1,"negative"
32,1.52172,13.48,3.74,0.9,72.01,0.18,9.61,0,0.07,"negative"
153,1.51215,12.99,3.47,1.12,72.98,0.62,8.35,0,0.31,"negative"
124,1.51627,13,3.58,1.54,72.83,0.61,8.04,0,0,"negative"
109,1.51754,13.48,3.74,1.17,72.99,0.59,8.03,0,0,"negative"
68,1.53125,10.73,0,2.1,69.81,0.58,13.3,3.15,0.28,"negative"
51,1.52101,13.64,4.49,1.1,71.78,0.06,8.75,0,0,"negative"
100,1.5166,12.99,3.18,1.23,72.97,0.58,8.81,0,0.24,"negative"
52,1.51756,13.15,3.61,1.05,73.24,0.57,8.24,0,0,"negative"
101,1.52152,13.05,3.65,0.87,72.32,0.19,9.85,0,0.17,"negative"
138,1.51708,13.72,3.68,1.81,72.06,0.64,7.88,0,0,"negative"
16,1.51778,13.21,2.81,1.29,72.98,0.51,9.02,0,0.09,"negative"
39,1.52739,11.02,0,0.75,73.08,0,14.96,0,0,"negative"
179,1.51618,13.53,3.55,1.54,72.99,0.39,7.78,0,0,"negative"
131,1.52365,15.79,1.83,1.31,70.43,0.31,8.61,1.68,0,"negative"
90,1.51844,13.25,3.76,1.32,72.4,0.58,8.42,0,0,"negative"
168,1.52151,11.03,1.71,1.56,73.44,0.58,11.62,0,0,"negative"
169,1.51652,13.56,3.57,1.47,72.45,0.64,7.96,0,0,"negative"
191,1.51719,14.75,0,2,73.02,0,8.53,1.59,0.08,"negative"
37,1.5221,13.73,3.84,0.72,71.76,0.17,9.74,0,0,"negative"
178,1.5232,13.72,3.72,0.51,71.75,0.09,10.06,0,0.16,"negative"
163,1.51643,12.16,3.52,1.35,72.89,0.57,8.53,0,0,"positive"
7,1.51811,13.33,3.85,1.25,72.78,0.52,8.12,0,0,"negative"
94,1.52196,14.36,3.85,0.89,71.36,0.15,9.15,0,0,"negative"
28,1.51687,13.23,3.54,1.48,72.84,0.56,8.1,0,0,"negative"
147,1.51869,13.19,3.37,1.18,72.72,0.57,8.83,0,0.16,"negative"
129,1.51617,14.95,0,2.27,73.3,0,8.71,0.67,0,"negative"
24,1.51409,14.25,3.09,2.08,72.28,1.1,7.08,0,0,"negative"
54,1.51689,12.67,2.88,1.71,73.21,0.73,8.54,0,0,"negative"
33,1.51768,12.65,3.56,1.3,73.08,0.61,8.69,0,0.14,"negative"
72,1.51847,13.1,3.97,1.19,72.44,0.6,8.43,0,0,"negative"
120,1.52177,13.2,3.68,1.15,72.75,0.54,8.52,0,0,"negative"
141,1.51694,12.86,3.58,1.31,72.61,0.61,8.79,0,0,"positive"
0,1.52026165322041,14.0817036056984,3.8271872128523,0.951354645246174,71.7647737714462,0.123561093341559,9.25832294998458,0,0.0220644809538499,"positive"
0,1.51805978576108,13.7611619313294,3.58953440629411,1.07216316309059,72.23890811302,0.366349400572944,8.76351051072823,0,0,"positive"
0,1.51805769373074,13.6923079703748,3.66923087146133,0.663846227452159,72.884614771232,0.0553845908492804,8.97307715207338,0,0,"positive"
0,1.5212487675974,14.217376720747,3.85045772725716,0.741531655816361,71.602623279253,0.038926071440801,9.54661974027753,0,0,"positive"
0,1.51849775353893,13.389652882556,3.37374304467812,1.4972186397831,72.1014365203679,0.526256955321878,9.02012771846261,0,0,"positive"
0,1.52085429677689,14.1735346156918,3.82245950242504,0.812768778316677,71.7476988116978,0.0344624433666468,9.36076583737507,0.0323085406562313,0.0516936650499701,"positive"
0,1.51807767846799,13.7225543501554,3.68598961796612,1.07967877903953,72.6324716049293,0.0980880917655304,8.69637816662434,0,0,"positive"
0,1.52072688412711,14.1977602451341,3.82418040520977,0.936766368173994,71.5835562881362,0.0897456428129226,9.38168629315682,0,0,"positive"
0,1.51669493835706,13.229876714116,3.55785205693915,1.41846848635934,72.6777287710551,0.564049314353615,8.43392602846958,0,0.107086300118826,"positive"
0,1.51669740067557,13.2407797973277,3.56926352474606,1.37930684681982,72.6999566779262,0.560129966221284,8.43948013511486,0,0.0995667792623863,"positive"
0,1.51703407058878,13.2585594771546,3.52257022504928,1.41299462605268,72.5845188088156,0.56,8.55341902705608,0,0.0793783587170765,"positive"
0,1.5171050200063,13.4077355581662,3.60682000057306,1.26953999828082,72.7286377782235,0.375899997134693,8.50545777879655,0,0.059088888252154,"positive"
0,1.51656752713693,13.1296059474442,3.47616505532758,1.31376356846653,72.8711107814615,0.537921189488843,8.51727583678905,0,0.0448029737221077,"positive"
0,1.51711886051116,13.3545939134294,3.50677577190101,1.43532119958661,72.4392000590917,0.567903028512374,8.57830299896654,0,0.0604848574381322,"positive"
0,1.51646589517281,12.303580691237,3.52664725422394,1.35398835253436,72.8647404339491,0.568670549155213,8.51803494239692,0,0.0132945084478706,"positive"
0,1.51685408061774,12.9960390219046,3.57642002573935,1.33505981982453,72.6422197683458,0.592100128696766,8.66470090087736,0,0.0357997426064685,"positive"
0,1.51667274446914,13.1854889382701,3.50458672592416,1.58714203457348,72.5800756641943,0.581804424691945,8.40729336296208,0,0.138157743210904,"positive"
0,1.51637237035665,13.3382888930058,3.47717160105007,1.29263209510595,72.6945395059441,0.576381482167635,8.37447407132946,0,0.0453950594412163,"positive"
0,1.51697082407004,13.2550457816687,3.53154966906877,1.40674805629998,72.6063818029501,0.56,8.5319464435312,0,0.0832824648125097,"positive"
0,1.51874749664159,13.550226763878,3.54673299270915,0.891392846892122,72.6612216545153,0.249773236121982,8.78900510936277,0.116335036454257,0.208579367357306,"positive"
0,1.51677137047186,13.2695574681461,3.57648822471499,1.36053532585502,72.7050463970006,0.527558876425028,8.45153462171555,0,0.092790861427784,"positive"
0,1.51647556318181,13.052969318172,3.41102392044617,1.26778159090318,72.9898975568335,0.522593863634393,8.57092147727963,0,0.00648465908598155,"positive"
0,1.51701080051877,13.3250303306058,3.52308671414852,1.42104912512004,72.5064826958627,0.565864160731435,8.54262281280011,0,0.0706791963428259,"positive"
0,1.51670093829025,13.2385143737774,3.57003909542691,1.37972633201163,72.6996481411578,0.560195477134548,8.44136833994184,0,0.0996090457309037,"positive"
0,1.51630320858802,13.3590374235949,3.45757576660486,1.27418895680457,72.6933868098003,0.579839570599142,8.36064171760343,0,0.0338680980028585,"positive"
0,1.51696777997348,13.3382678801753,3.58965357603505,1.20066111868015,72.7737009101315,0.437165149780922,8.5603781532147,0,0.0754330299561843,"positive"
0,1.51794844001777,13.3093577787653,3.39275234315544,1.50330271780491,72.2684404876828,0.56,8.86385309245437,0,0.022935801371932,"positive"
0,1.51758398584437,13.3739372491464,3.55995470631402,1.16904883259442,72.6832578438567,0.426062750853598,8.5906794052897,0.0502264684299007,0.146878037201241,"positive"
0,1.51734861576279,13.508618649235,3.62896506934427,1.2031047919672,72.7458617206011,0.265174653278664,8.54482678994536,0,0.0344832562841475,"positive"
0,1.51661960502094,13.1730041841138,3.51305355649674,1.33980251046829,72.8038435146236,0.546600836822763,8.48689707112033,0,0.0665020920569077,"positive"
0,1.51723066159929,13.3851810035785,3.4899001359567,1.45008738103788,72.3695880608214,0.570012483005412,8.61521845259471,0,0.0499375849729404,"positive"
0,1.5168341475871,13.0275996537553,3.57558948279591,1.34087362042861,72.6496946548368,0.587947413979564,8.63563189785695,0,0.0441051720408723,"positive"
0,1.51669131599528,13.5229370204546,3.45718723358586,1.17539395780303,72.5538943840656,0.52251906436868,8.45381812659092,0,0,"positive"
0,1.51780997112502,13.6439024037402,3.65143470725743,0.65103298922535,72.9913917564554,0.0596556702582166,8.93321374425665,0,0,"positive"
0,1.52126520666874,14.2968322322215,3.88881556038279,0.810027786397841,71.5231677677785,0.00878777398495004,9.50278221670538,0,0,"positive"
0,1.51996318803305,13.8814427636354,3.65192721983418,1.14452084628167,71.7835117487609,0.248072780165821,9.26850644628052,0,0,"positive"
0,1.5212652900883,14.3183405492455,3.89912146724761,0.829804770499468,71.5028064240701,0.000390459001064301,9.48853577874601,0.000366055313497782,0.000585688501596451,"positive"
0,1.51822981429869,13.7510266983579,3.6961886680685,1.06777988725342,72.5785016314709,0.0934135271352716,8.73419964408735,0,0,"positive"
0,1.52035632660437,14.1143584095314,3.77245015274733,1.00961100939661,71.6405651377887,0.150977370217443,9.30778593249619,0,0,"positive"
0,1.51971023782893,13.7940755728027,3.78472889266908,1.00290666099638,71.8998466535541,0.219735548349563,9.23784445271362,0,0,"positive"
0,1.51665570134701,13.1514026940195,3.46368323282339,1.71666976272594,72.5050859268429,0.595438922392204,8.38684161641169,0,0.162018114186358,"positive"
0,1.51623458525999,13.3796244220017,3.43813249033177,1.2558894026652,72.6922430876666,0.583270737000275,8.3469170519989,0,0.0224308766657487,"positive"
0,1.51786423797449,13.3046798874717,3.40470695423894,1.49498646661639,72.2975473668426,0.56,8.83526597899385,0,0.0281334583647549,"positive"
0,1.51931159420183,13.6356960911863,3.54032279316103,0.756778656381648,72.6505379886017,0.164303908813745,8.88515810258454,0.148386034194846,0.238493631915189,"positive"
0,1.51684409500989,13.2996757111652,3.58309954635333,1.34070136094,72.7101885360526,0.494502268233337,8.46328808240592,0,0.085444948496297,"positive"
0,1.51658722866422,13.1460238868464,3.49012030381942,1.32361433210783,72.8456629753881,0.541204777369276,8.50578327920753,0,0.0530119434231892,"positive"
0,1.51753280796931,13.467843689716,3.44429313670844,1.48999350538012,72.1814591889223,0.575713357911445,8.71498376345029,0,0.021433210442774,"positive"
0,1.51693949362777,12.8608017560281,3.57997890115716,1.31014769189991,72.6101898895856,0.609894505785778,8.78926154050045,0,0.000210988428443665,"positive"
0,1.51636258502309,13.3412244930724,3.4743990898761,1.29002267282456,72.6943764170515,0.576870748845395,8.37251700461842,0,0.043764170515351,"positive"
0,1.51678659900529,13.271779451482,3.5763558902964,1.32200250104535,72.7238345886115,0.520275685647503,8.47892982806545,0,0.0920551371295005,"positive"
0,1.51812699528457,13.3192775158095,3.36740190404234,1.52093780588359,72.2067176794074,0.56,8.92447370772483,0,0.0119138713227585,"positive"
0,1.51810042651592,13.4521858357452,3.55408606231911,1.04580730870133,72.6734767705319,0.347814164254814,8.67870906521333,0.0795696884044446,0.174265042510815,"positive"
0,1.51709384731276,13.403108483064,3.60580430116039,1.27258709651884,72.7278477897914,0.380978494198062,8.5036520909518,0,0.0602174431551248,"positive"
0,1.51669085671134,13.2323805927858,3.56352350386791,1.37542835567147,72.7118100811821,0.558476118557155,8.44533358504996,0,0.0961902963928878,"positive"
0,1.51685447216765,13.2822612534137,3.54668344639242,1.40040198440664,72.6038192163687,0.562914569200948,8.49100496101659,0,0.0854271539952606,"positive"
0,1.51679999066509,13.081681446936,3.57416627771221,1.35083605601452,72.6625035005901,0.580831388561055,8.58581971992738,0,0.0583372228778899,"positive"
0,1.51669282446392,13.2256489278376,3.55277871340513,1.43453407421708,72.6684276412427,0.565740428864956,8.43138935670257,0,0.110045750513673,"positive"
0,1.51647161309742,13.3085160707729,3.50529037760338,1.31909682597965,72.6961935516237,0.571419345128816,8.39432261948474,0,0.0619355162372813,"positive"
0,1.51763716979036,13.5839155193977,3.63878310387954,0.752354177099187,72.9579366395483,0.130105600752868,8.86129651126219,0,0.0140211201505736,"positive"
0,1.51741366541769,13.348131123893,3.56189016570803,1.20969347986858,72.6864836095134,0.451868876107037,8.56164751437958,0.0405491714598611,0.137845893362537,"positive"
0,1.51738580195572,13.5240189917618,3.63234563233797,1.1929631029861,72.748491047374,0.248271838310175,8.55083667971194,0,0.0307270751800388,"positive"
0,1.51659340071108,13.1511672592349,3.49449217034969,1.32670035554096,72.8376907481858,0.542233451846987,8.50218291853555,0,0.0555836296174675,"positive"
0,1.51675077126583,13.2538902519713,3.56233641270548,1.3867056388827,72.6683877024101,0.560957948411815,8.45676409720676,0,0.0952102579409257,"positive"
0,1.51683159104919,13.0316475054482,3.57548296038294,1.34161927731941,72.6506533565535,0.587414801914711,8.63190361340297,0,0.0451703961705789,"positive"
0,1.51667813247198,13.1962649439555,3.51751793274656,1.54619321296923,72.603782876702,0.577494022417814,8.41375896637328,0,0.130614539231174,"positive"
0,1.51623893835084,13.3783184947493,3.43936586607015,1.25705022688955,72.6923156391806,0.583053082458209,8.34778767016716,0,0.0231563918059692,"positive"
0,1.51703073775117,13.2583743195096,3.52304340569768,1.41266545690596,72.5856709008291,0.56,8.55228750811424,0,0.0795840894337744,"positive"
0,1.51930566999979,13.6347984848171,3.54039011363871,0.758192386412993,72.6506501893979,0.165201515182853,8.88414829541929,0.14804943180643,0.238179469686002,"positive"
0,1.51710770865172,13.4088490375807,3.60706442288356,1.26880673134932,72.728827884465,0.374677885582205,8.50589230734855,0,0.0588173079071566,"positive"
0,1.51652768959815,13.0964079984557,3.44794679868733,1.29384479907341,72.9225676023937,0.531281599691138,8.54051440108102,0,0.0282039992278442,"positive"
0,1.51704102724124,13.3332999056228,3.51852419000119,1.42504133374896,72.4876622837549,0.566434476249851,8.5526033343724,0,0.0678276187507436,"positive"
0,1.51683568039199,13.0251727126772,3.57565334966639,1.34042655233527,72.6491198530025,0.588266748331953,8.63786723832367,0,0.0434665033360943,"positive"
