"Length","Diameter","Height","Whole_weight","Shucked_weight","Viscera_weight","Shell_weight","Class"
0.475,0.365,0.115,0.459,0.2175,0.093,0.1165,"negative"
0.68,0.53,0.185,1.1095,0.439,0.245,0.34,"negative"
0.52,0.46,0.15,1.019,0.523,0.1985,0.254,"negative"
0.46,0.355,0.14,0.491,0.207,0.115,0.174,"negative"
0.42,0.325,0.11,0.325,0.1245,0.0755,0.1025,"negative"
0.285,0.225,0.07,0.1005,0.0425,0.0185,0.035,"negative"
0.65,0.485,0.14,1.175,0.475,0.2435,0.215,"negative"
0.51,0.41,0.145,0.796,0.3865,0.1815,0.1955,"negative"
0.58,0.44,0.175,1.073,0.4005,0.2345,0.335,"positive"
0.44,0.34,0.12,0.4995,0.2965,0.0945,0.1185,"negative"
0.5,0.38,0.155,0.66,0.2655,0.1365,0.215,"positive"
0.61,0.48,0.19,1.2955,0.5215,0.3225,0.365,"negative"
0.4,0.305,0.16,0.368,0.173,0.0705,0.105,"negative"
0.72,0.56,0.18,1.5865,0.691,0.375,0.4425,"negative"
0.72,0.55,0.18,1.52,0.637,0.325,0.435,"negative"
0.62,0.48,0.165,1.0125,0.5325,0.4365,0.324,"negative"
0.615,0.475,0.175,1.224,0.6035,0.261,0.311,"negative"
0.59,0.45,0.16,0.9,0.358,0.156,0.315,"positive"
0.215,0.15,0.055,0.041,0.015,0.009,0.0125,"negative"
0.585,0.45,0.125,0.874,0.3545,0.2075,0.225,"negative"
0.695,0.57,0.23,1.885,0.8665,0.435,0.5,"positive"
0.55,0.44,0.15,0.8945,0.3145,0.151,0.32,"positive"
0.67,0.485,0.175,1.2565,0.5355,0.322,0.386,"negative"
0.51,0.395,0.125,0.5805,0.244,0.1335,0.188,"negative"
0.59,0.475,0.16,0.9455,0.3815,0.184,0.27,"positive"
0.54,0.455,0.14,0.972,0.419,0.255,0.269,"negative"
0.635,0.505,0.155,1.2895,0.594,0.314,0.345,"negative"
0.6,0.445,0.175,1.057,0.383,0.216,0.355,"negative"
0.69,0.555,0.205,1.8165,0.7785,0.4395,0.515,"positive"
0.68,0.54,0.21,1.7885,0.8345,0.408,0.437,"negative"
0.415,0.325,0.1,0.385,0.167,0.08,0.125,"negative"
0.475,0.375,0.15,0.559,0.1955,0.1215,0.1945,"negative"
0.32,0.24,0.075,0.1735,0.076,0.0355,0.05,"negative"
0.54,0.475,0.155,1.217,0.5305,0.3075,0.34,"negative"
0.39,0.3,0.105,0.259,0.0955,0.038,0.085,"negative"
0.585,0.47,0.165,1.409,0.8,0.229,0.295,"negative"
0.545,0.43,0.15,0.742,0.3525,0.158,0.208,"negative"
0.56,0.45,0.185,1.07,0.3805,0.175,0.41,"positive"
0.575,0.435,0.15,1.0305,0.4605,0.218,0.36,"negative"
0.47,0.38,0.145,0.5865,0.2385,0.144,0.185,"negative"
0.655,0.515,0.155,1.309,0.524,0.346,0.385,"negative"
0.625,0.5,0.13,1.082,0.5785,0.2045,0.25,"negative"
0.575,0.42,0.135,0.857,0.461,0.147,0.2125,"negative"
0.575,0.43,0.155,0.7955,0.3485,0.1925,0.22,"negative"
0.72,0.575,0.17,1.9335,0.913,0.389,0.51,"negative"
0.59,0.455,0.15,0.976,0.465,0.2055,0.2765,"negative"
0.7,0.545,0.185,1.6135,0.75,0.4035,0.3685,"negative"
0.55,0.415,0.145,0.7815,0.373,0.16,0.2215,"negative"
0.475,0.375,0.125,0.593,0.277,0.115,0.18,"negative"
0.485,0.365,0.14,0.4475,0.1895,0.0925,0.2305,"negative"
0.555,0.45,0.175,0.874,0.3275,0.202,0.305,"negative"
0.69,0.535,0.185,1.826,0.797,0.409,0.499,"negative"
0.67,0.53,0.225,1.5615,0.63,0.487,0.3725,"negative"
0.45,0.36,0.125,0.4995,0.2035,0.1,0.17,"negative"
0.445,0.325,0.1,0.378,0.1795,0.1,0.089,"negative"
0.455,0.355,0.135,0.4745,0.1865,0.0935,0.168,"negative"
0.435,0.325,0.1,0.342,0.1335,0.0835,0.105,"negative"
0.66,0.52,0.18,1.514,0.526,0.2975,0.42,"positive"
0.625,0.5,0.175,1.273,0.564,0.302,0.374,"negative"
0.53,0.425,0.13,0.7675,0.419,0.1205,0.21,"negative"
0.425,0.345,0.11,0.3665,0.125,0.081,0.117,"negative"
0.43,0.34,0.11,0.3645,0.159,0.0855,0.105,"negative"
0.25,0.175,0.06,0.0635,0.0275,0.008,0.02,"negative"
0.72,0.55,0.205,2.125,1.1455,0.4425,0.511,"negative"
0.665,0.535,0.155,1.383,0.596,0.2565,0.485,"negative"
0.615,0.475,0.175,1.194,0.559,0.259,0.3165,"negative"
0.475,0.4,0.115,0.541,0.186,0.1025,0.21,"negative"
0.235,0.17,0.065,0.0625,0.023,0.014,0.022,"negative"
0.65,0.51,0.175,1.35,0.575,0.3155,0.3885,"negative"
0.475,0.385,0.11,0.5735,0.311,0.1025,0.136,"negative"
0.555,0.455,0.18,0.958,0.296,0.195,0.39,"negative"
0.46,0.375,0.12,0.4915,0.2205,0.088,0.17,"negative"
0.54,0.425,0.14,0.742,0.32,0.1395,0.25,"negative"
0.575,0.445,0.14,0.941,0.3845,0.252,0.285,"negative"
0.705,0.55,0.17,1.219,0.6395,0.236,0.301,"negative"
0.45,0.345,0.135,0.443,0.1975,0.0875,0.1175,"negative"
0.33,0.255,0.095,0.172,0.066,0.0255,0.06,"negative"
0.62,0.51,0.175,1.1505,0.4375,0.2265,0.4,"negative"
0.625,0.495,0.175,1.2075,0.531,0.281,0.3525,"negative"
0.435,0.395,0.105,0.3635,0.136,0.098,0.13,"negative"
0.595,0.475,0.14,0.944,0.3625,0.189,0.315,"negative"
0.35,0.26,0.075,0.18,0.09,0.0245,0.055,"negative"
0.295,0.215,0.085,0.128,0.049,0.034,0.04,"negative"
0.655,0.515,0.2,1.373,0.443,0.3375,0.49,"negative"
0.58,0.425,0.145,0.83,0.379,0.1605,0.2575,"negative"
0.68,0.55,0.175,1.798,0.815,0.3925,0.455,"positive"
0.555,0.405,0.19,1.406,0.6115,0.342,0.389,"negative"
0.565,0.44,0.175,0.9025,0.31,0.193,0.325,"negative"
0.58,0.455,0.17,0.93,0.408,0.259,0.22,"negative"
0.635,0.495,0.195,1.172,0.445,0.3115,0.3475,"negative"
0.31,0.235,0.075,0.1515,0.056,0.0315,0.05,"negative"
0.6,0.475,0.18,1.1805,0.4345,0.2475,0.425,"positive"
0.165,0.115,0.015,0.0145,0.0055,0.003,0.005,"negative"
0.605,0.485,0.16,1.222,0.53,0.2575,0.28,"negative"
0.48,0.38,0.135,0.507,0.1915,0.1365,0.155,"negative"
0.62,0.45,0.2,0.858,0.4285,0.1525,0.2405,"negative"
0.54,0.43,0.14,0.8195,0.3935,0.1725,0.2295,"negative"
0.57,0.455,0.15,1.107,0.54,0.255,0.27,"negative"
0.56,0.43,0.145,0.8995,0.464,0.1775,0.234,"negative"
0.5,0.385,0.135,0.6425,0.3195,0.129,0.1535,"negative"
0.575,0.45,0.135,0.807,0.3615,0.176,0.254,"negative"
0.53,0.41,0.165,0.8115,0.24,0.169,0.24,"positive"
0.525,0.425,0.19,0.872,0.4625,0.1725,0.199,"negative"
0.505,0.475,0.16,1.1155,0.509,0.239,0.3065,"negative"
0.57,0.445,0.155,1.017,0.5265,0.2025,0.265,"negative"
0.355,0.275,0.09,0.251,0.097,0.053,0.08,"negative"
0.475,0.36,0.12,0.5915,0.3245,0.11,0.127,"negative"
0.445,0.355,0.15,0.485,0.181,0.125,0.155,"negative"
0.565,0.43,0.135,0.8545,0.321,0.1775,0.275,"negative"
0.4,0.3,0.11,0.315,0.109,0.067,0.12,"negative"
0.44,0.345,0.1,0.366,0.122,0.0905,0.12,"negative"
0.54,0.41,0.145,0.989,0.2815,0.213,0.355,"positive"
0.72,0.575,0.215,2.1,0.8565,0.4825,0.602,"negative"
0.575,0.475,0.16,0.895,0.3605,0.221,0.271,"negative"
0.57,0.45,0.16,0.8615,0.3725,0.2175,0.255,"negative"
0.585,0.455,0.15,0.987,0.4355,0.2075,0.31,"negative"
0.45,0.355,0.12,0.412,0.1145,0.0665,0.16,"positive"
0.64,0.5,0.17,1.5175,0.693,0.326,0.409,"negative"
0.325,0.245,0.07,0.161,0.0755,0.0255,0.045,"negative"
0.5,0.405,0.15,0.5965,0.253,0.126,0.185,"negative"
0.57,0.46,0.14,0.9535,0.4465,0.2065,0.245,"negative"
0.55,0.43,0.16,0.9295,0.317,0.1735,0.355,"negative"
0.6,0.45,0.14,0.869,0.3425,0.195,0.291,"negative"
0.355,0.265,0.09,0.168,0.05,0.041,0.063,"negative"
0.32,0.245,0.075,0.1555,0.0585,0.038,0.049,"negative"
0.59,0.47,0.18,1.1235,0.4205,0.2805,0.36,"negative"
0.56,0.435,0.135,0.72,0.329,0.103,0.251,"negative"
0.65,0.52,0.21,1.6785,0.6665,0.308,0.46,"negative"
0.55,0.415,0.135,0.7635,0.318,0.21,0.2,"negative"
0.625,0.49,0.12,0.8765,0.456,0.18,0.233,"negative"
0.33,0.25,0.095,0.2085,0.102,0.0395,0.052,"negative"
0.68,0.58,0.2,1.787,0.585,0.453,0.6,"positive"
0.59,0.44,0.15,0.9555,0.366,0.2425,0.295,"negative"
0.165,0.12,0.05,0.021,0.0075,0.0045,0.014,"negative"
0.465,0.345,0.11,0.4415,0.1755,0.0905,0.12,"negative"
0.54,0.42,0.12,0.8115,0.392,0.1455,0.2235,"negative"
0.37,0.29,0.1,0.25,0.1025,0.0505,0.085,"negative"
0.575,0.45,0.15,0.858,0.449,0.166,0.215,"negative"
0.53,0.41,0.145,0.8255,0.375,0.204,0.245,"negative"
0.655,0.525,0.18,1.402,0.624,0.2935,0.365,"negative"
0.505,0.405,0.11,0.625,0.305,0.16,0.175,"negative"
0.63,0.5,0.17,1.3135,0.5595,0.267,0.4,"negative"
0.59,0.475,0.145,0.9745,0.4675,0.207,0.259,"negative"
0.505,0.39,0.16,0.644,0.2475,0.2025,0.1635,"negative"
0.565,0.45,0.135,0.9885,0.387,0.1495,0.31,"negative"
0.495,0.375,0.115,0.5755,0.31,0.1145,0.1395,"negative"
0.635,0.505,0.17,1.2635,0.512,0.322,0.355,"negative"
0.565,0.45,0.16,0.795,0.3605,0.1555,0.23,"negative"
0.295,0.215,0.075,0.116,0.037,0.0295,0.04,"negative"
0.585,0.465,0.15,0.98,0.4315,0.2545,0.247,"negative"
0.635,0.505,0.145,1.1345,0.505,0.2655,0.315,"negative"
0.59,0.47,0.15,0.861,0.413,0.164,0.249,"negative"
0.535,0.445,0.125,0.8725,0.417,0.199,0.24,"negative"
0.65,0.515,0.215,1.498,0.564,0.323,0.425,"negative"
0.75,0.55,0.18,1.893,0.942,0.397,0.445,"negative"
0.535,0.42,0.16,0.72,0.275,0.164,0.225,"negative"
0.64,0.49,0.18,1.36,0.653,0.347,0.305,"negative"
0.62,0.495,0.175,1.806,0.643,0.3285,0.725,"negative"
0.42,0.315,0.11,0.4025,0.1855,0.083,0.1015,"negative"
0.37,0.295,0.1,0.2685,0.1165,0.056,0.0835,"negative"
0.57,0.45,0.17,1.098,0.414,0.187,0.405,"negative"
0.59,0.415,0.15,0.8805,0.3645,0.234,0.235,"negative"
0.645,0.525,0.19,1.4635,0.6615,0.3435,0.435,"positive"
0.645,0.515,0.185,1.4605,0.5835,0.3155,0.41,"positive"
0.63,0.515,0.175,1.1955,0.492,0.247,0.37,"negative"
0.665,0.57,0.185,1.522,0.6965,0.3025,0.405,"negative"
0.6,0.48,0.17,1.056,0.4575,0.2435,0.3135,"negative"
0.405,0.3,0.085,0.3035,0.15,0.0505,0.088,"negative"
0.17,0.105,0.035,0.034,0.012,0.0085,0.005,"negative"
0.425,0.34,0.1,0.382,0.164,0.096,0.1,"negative"
0.575,0.45,0.1,0.9315,0.431,0.222,0.235,"negative"
0.24,0.18,0.055,0.0555,0.0235,0.013,0.018,"negative"
0.385,0.29,0.09,0.232,0.0855,0.0495,0.08,"negative"
0.58,0.46,0.15,0.9955,0.429,0.212,0.26,"positive"
0.425,0.325,0.135,0.382,0.1465,0.079,0.14,"negative"
0.5,0.385,0.115,0.6785,0.2945,0.138,0.195,"negative"
0.215,0.15,0.03,0.0385,0.0115,0.005,0.01,"negative"
0.565,0.49,0.155,0.9245,0.405,0.2195,0.255,"negative"
0.515,0.4,0.135,0.6965,0.32,0.1255,0.175,"negative"
0.645,0.51,0.16,1.2415,0.5815,0.276,0.315,"negative"
0.375,0.29,0.1,0.219,0.0925,0.038,0.075,"negative"
0.485,0.38,0.12,0.4725,0.2075,0.1075,0.147,"negative"
0.71,0.565,0.195,1.817,0.785,0.492,0.49,"negative"
0.58,0.45,0.14,0.824,0.3465,0.1765,0.263,"negative"
0.65,0.545,0.185,1.5055,0.6565,0.341,0.43,"negative"
0.455,0.335,0.105,0.4055,0.175,0.092,0.1185,"negative"
0.64,0.54,0.175,1.221,0.51,0.259,0.39,"negative"
0.58,0.48,0.18,1.2495,0.4945,0.27,0.371,"negative"
0.47,0.39,0.15,0.6355,0.2185,0.0885,0.255,"negative"
0.505,0.38,0.135,0.5385,0.2645,0.095,0.165,"negative"
0.34,0.255,0.095,0.213,0.081,0.034,0.07,"negative"
0.6,0.47,0.13,1.0105,0.423,0.219,0.298,"negative"
0.15,0.1,0.025,0.015,0.0045,0.004,0.005,"negative"
0.555,0.425,0.145,0.7905,0.3485,0.1765,0.225,"negative"
0.5,0.38,0.155,0.5955,0.2135,0.161,0.2,"negative"
0.605,0.495,0.145,1.054,0.369,0.2255,0.36,"negative"
0.7,0.55,0.2,1.523,0.693,0.306,0.4405,"negative"
0.485,0.36,0.13,0.5415,0.2595,0.096,0.16,"negative"
0.615,0.475,0.155,1.115,0.484,0.2115,0.355,"negative"
0.505,0.425,0.14,0.85,0.275,0.1625,0.285,"positive"
0.595,0.465,0.155,1.026,0.4645,0.112,0.305,"negative"
0.705,0.555,0.2,1.4685,0.4715,0.3235,0.52,"positive"
0.34,0.25,0.075,0.1785,0.0665,0.0455,0.045,"negative"
0.53,0.41,0.165,0.732,0.189,0.17,0.31,"negative"
0.585,0.465,0.155,0.9145,0.4555,0.1965,0.235,"negative"
0.385,0.29,0.095,0.312,0.143,0.0635,0.086,"negative"
0.235,0.175,0.08,0.0645,0.0215,0.0175,0.0215,"negative"
0.555,0.455,0.17,0.8435,0.309,0.1905,0.3,"negative"
0.565,0.45,0.165,0.887,0.37,0.239,0.249,"negative"
0.68,0.56,0.195,1.664,0.58,0.3855,0.545,"negative"
0.525,0.395,0.165,0.782,0.285,0.1405,0.285,"positive"
0.425,0.31,0.105,0.365,0.159,0.0825,0.105,"negative"
0.485,0.365,0.09,0.651,0.3165,0.132,0.18,"negative"
0.355,0.285,0.095,0.2275,0.0955,0.0475,0.0715,"negative"
0.335,0.26,0.085,0.192,0.097,0.03,0.054,"negative"
0.395,0.3,0.09,0.253,0.1155,0.05,0.075,"negative"
0.605,0.485,0.165,1.0105,0.435,0.209,0.3,"positive"
0.53,0.425,0.17,0.949,0.3485,0.2395,0.278,"negative"
0.54,0.43,0.14,0.8195,0.3935,0.1725,0.2295,"negative"
0.7,0.545,0.185,1.6135,0.75,0.4035,0.3685,"negative"
0.485,0.36,0.13,0.5415,0.2595,0.096,0.16,"negative"
0.691337528704764,0.546257538680027,0.199878296138216,1.72766261132408,0.776851840958848,0.485430725455572,0.604533539628564,"positive"
0.69399787688179,0.552089657696455,0.194673210825164,2.02187981490394,0.731827501483918,0.473882722479807,0.585204759721601,"positive"
0.644316076808891,0.504326800431676,0.192834401758526,1.4485001690971,0.674242916992561,0.351139678341519,0.44670044880409,"positive"
0.447568245760523,0.363486426011375,0.113813647127427,0.385920770779468,0.122035380713417,0.0618848820773173,0.160589212307034,"positive"
0.696829439440938,0.544666286548498,0.198917947967252,1.85554295510473,0.705514101279288,0.445827550553537,0.604397542946404,"positive"
0.571254529613927,0.443356286062375,0.184146636181284,1.12357046588529,0.355403985163044,0.176094584854062,0.408744729837573,"positive"
0.521404599183613,0.421272612147808,0.165203676221797,1.01288038111601,0.376495800306176,0.30437110879209,0.346707830202595,"positive"
0.55062358647385,0.422170214381874,0.162246843652128,0.883229650432847,0.348368865971046,0.243342861991424,0.34984693050466,"positive"
0.603679325246669,0.475497096425387,0.186117286347187,1.20079071668472,0.454598827633414,0.231898866494273,0.427529571162268,"positive"
0.640824402584381,0.529494895408961,0.185219401427197,1.48935144894831,0.665496934736135,0.3223344642065,0.383688073795766,"positive"
0.689337756947573,0.531487375643452,0.175849649545711,1.83585394697276,0.828146450259361,0.386715647215337,0.449796119402257,"positive"
0.556178177445259,0.4411370765672,0.175171537480881,1.01080313244403,0.384612927280243,0.196884762834578,0.417209521298132,"positive"
0.537208228331444,0.414727880832753,0.145008076705936,0.852918647625276,0.282637510381136,0.210571174155398,0.334430818000448,"positive"
0.558418692207292,0.436002205304832,0.151703950536186,0.875871422745531,0.320551255679741,0.146951277712769,0.299634763487804,"positive"
0.606884590440495,0.494108145895692,0.156373486200111,0.891303369474118,0.354132175642237,0.163585788971532,0.284296017134463,"positive"
0.682651601542442,0.590993006110492,0.202356448221328,1.74304287601874,0.650035621359858,0.454033939458517,0.555900256761867,"positive"
0.520854680779123,0.400254931576796,0.166106543900231,0.72725924928751,0.306720641041208,0.156901464776923,0.288683870912893,"positive"
0.678324393907145,0.555043102490092,0.20826412811631,1.79365712310787,0.771696187188261,0.475305953495868,0.510756588266119,"positive"
0.526749669958411,0.412465200069442,0.162180485552841,0.793638156853039,0.272850361408839,0.189827194405358,0.229612994353914,"positive"
0.635772050856483,0.508770779791543,0.181755087566132,1.50619056413793,0.566511101162681,0.301717238385742,0.410999131502495,"positive"
0.497457605714973,0.385541894312046,0.149077289184129,0.716614596219458,0.311845674016386,0.128529499698988,0.215859244527976,"positive"
0.608872310434412,0.498062046613507,0.163921893997683,0.964899030065785,0.424318635270067,0.218623207412597,0.303895993474745,"positive"
0.491635828228588,0.389560652966114,0.150524025220827,0.64227584915702,0.202623850306627,0.136340925594477,0.216956370223415,"positive"
0.721011507155466,0.562823581809687,0.232300692648781,1.90574458789756,0.903446328042246,0.439361735697829,0.491557579365948,"positive"
0.501531839631115,0.365714332227442,0.155238310595164,0.74028154714677,0.296165728550599,0.115710786253553,0.219076957401299,"positive"
0.671097222539795,0.519032350797402,0.187320937330473,1.51078192117287,0.505028119507466,0.290742986510535,0.441887856778795,"positive"
0.577523664059717,0.478890598028128,0.176129468820717,1.08299566798297,0.396300862907066,0.232824061742131,0.435523050989178,"positive"
0.597275705067939,0.461921753756333,0.163950704391174,0.913306834000789,0.308312950636903,0.141289943559112,0.338612448370487,"positive"
0.63207611790946,0.503364021002076,0.183236864223917,1.45366496703246,0.57621393405085,0.304111299140543,0.405664405524245,"positive"
0.549031322304568,0.413215486856783,0.140130096634248,1.09072960643675,0.231829174275436,0.206428958466631,0.364196655613837,"positive"
0.533909140440056,0.412060503286968,0.166915585656986,0.831210207386184,0.217940635464217,0.168910210202521,0.24793930166913,"positive"
0.685998578786644,0.560535976350409,0.195207828728973,1.81074097901117,0.736430250166076,0.482034989860315,0.558277008823768,"positive"
0.61300256434593,0.499753710364333,0.156472229674761,0.989774267843133,0.422671211086919,0.165433644934181,0.317115669569413,"positive"
0.53811478158948,0.43184704075334,0.162549007727706,0.966499237918585,0.302291803846459,0.252923415463359,0.354499344056979,"positive"
0.519299093334929,0.384880017276597,0.165705120310789,0.792677211617236,0.281652295391496,0.166103051401239,0.27195202101392,"positive"
0.58017072258237,0.470434058414709,0.156660336494246,0.955625238633936,0.388405115912411,0.199744662289555,0.284995265761746,"positive"
0.583439321344863,0.446804463594572,0.163603546599404,0.952563753616379,0.404556060927191,0.167039313381284,0.310801754652569,"positive"
0.459280534704458,0.375742305503767,0.115991502747794,0.430376069771455,0.0885384390673315,0.0934306457727387,0.142664553108674,"positive"
0.649258412954933,0.536589248400921,0.18572427649242,1.43945452478204,0.540048244894991,0.300010778683561,0.385801312057814,"positive"
0.509869407008509,0.37852893833867,0.155478378832862,0.606015005543304,0.215512805799999,0.168957019071075,0.195973287662724,"positive"
0.586169522390632,0.465790228233466,0.156436907765628,0.981927836248538,0.396551799301876,0.203429201240024,0.23924291912165,"positive"
0.663695485779875,0.502589970930413,0.178566995434518,1.51041356595504,0.524371708738682,0.302363806247448,0.406056339335943,"positive"
0.582397394337713,0.464541684545543,0.147806213653965,1.00599370906388,0.449911481910991,0.221890576762149,0.275353199279523,"positive"
0.535995935804699,0.430376308175488,0.153207516006261,0.957841844359155,0.310685451962898,0.15197176068041,0.31083653837832,"positive"
0.59746195246014,0.460160819591593,0.180202306910892,1.17355549369372,0.411146706807179,0.232744316693858,0.362393437184391,"positive"
0.451320107962759,0.347184928444311,0.116520334624482,0.357257114626415,0.120572821951335,0.0415295764883509,0.157276451336271,"positive"
0.597517225127238,0.4759804510723,0.163111156499282,1.03985956680793,0.382137620165259,0.195763981820516,0.255205364995095,"positive"
0.589378248189332,0.493623525352322,0.149747763745778,0.945755110668324,0.412127440136198,0.245938322279638,0.255511201657974,"positive"
0.599503508021985,0.490214499745374,0.153423131247617,1.03028689023069,0.43368074661383,0.206605827139619,0.320709619180874,"positive"
0.576997274865435,0.462714100591728,0.147472808661568,1.00826262574521,0.418009860028375,0.214689852802058,0.252998021633437,"positive"
0.653774758612295,0.505232285613898,0.186541746987856,1.4446072455241,0.601558885989932,0.313791018447329,0.410946305408602,"positive"
0.679716841361479,0.558067845790352,0.205485130908815,1.89652109168401,0.782959150074555,0.442383125776255,0.516297032143283,"positive"
0.619356068843203,0.467293936977704,0.171834689412539,1.14268272006964,0.482751492892083,0.26565359896628,0.436961944441768,"positive"
0.686233212279303,0.555682156107014,0.206940163101042,1.85441021615382,0.797762792080599,0.462903116256464,0.523511919557806,"positive"
0.621241639087879,0.482380303019359,0.167190016879672,1.00973920869075,0.425853843077986,0.215462581761949,0.312249797379987,"positive"
0.539848038298375,0.384558559967434,0.163981944188938,0.728539065582986,0.284752206264048,0.158152213880725,0.287084698407143,"positive"
0.58081461979169,0.460099651554817,0.147634407075269,1.06521528729528,0.425606077286816,0.211571069092435,0.247273589922653,"positive"
0.585569400323807,0.468750315362692,0.156591501134521,0.875642792635564,0.372370721528509,0.219884830347215,0.2670874450314,"positive"
0.494940214677787,0.439065856521242,0.139699109948184,0.819802257010756,0.320972867962305,0.181282707095463,0.291508452397116,"positive"
0.593171520082252,0.43788660349702,0.159953136516783,0.811533478859485,0.386814565665683,0.213657505311293,0.3086339338136,"positive"
0.69024696976313,0.577797325433648,0.196243978094045,1.79815277047511,0.564236660681748,0.45214450008116,0.593878816493075,"positive"
0.540972826887302,0.420231262251948,0.1405062076515,1.0041761412381,0.291846439404507,0.20241532403986,0.372274021319688,"positive"
0.685540943250375,0.540167621277871,0.194907676250586,1.78229184920402,0.738551601529309,0.479062413707925,0.591142932696224,"positive"
0.543561041975435,0.417687419014656,0.148589245578127,0.931860482389758,0.283819909187683,0.144570985588597,0.32180447951163,"positive"
0.599647286715022,0.466741192033958,0.184549940394321,1.12121821809931,0.474853224441859,0.257564047340686,0.418812944468137,"positive"
0.590497829028139,0.431464661713333,0.180863412864379,1.11083389533412,0.393776380094457,0.239905998999721,0.361062074441058,"positive"
0.545247971182021,0.440419059827378,0.155243469601878,0.908149866726391,0.31947225163297,0.171850495958087,0.300383583498278,"positive"
0.578811831976634,0.45643725234428,0.15433540633958,1.03655220534489,0.439965681870032,0.196795384465427,0.245616505512516,"positive"
0.487293162914807,0.38204282171329,0.154205651150733,0.606137153648679,0.238574751178784,0.117401482898257,0.228407444600356,"positive"
0.554853534129086,0.436272803642334,0.145907333361952,0.89997270239075,0.285101815287028,0.17583322531678,0.305405354984797,"positive"
0.537841957972475,0.398301382125999,0.163904033108004,0.755437163737205,0.283685254815186,0.144068939257769,0.299094150504851,"positive"
0.709699071321627,0.566770207130362,0.221934523001823,1.80069568060614,0.882102923592541,0.420387327518304,0.485157775637053,"positive"
0.652999362390321,0.525501968626455,0.183950905132494,1.46926321621528,0.585499654471738,0.298489480415778,0.418500706825985,"positive"
0.561641011427916,0.433493503801454,0.180549425678846,1.17480248231142,0.419620100901199,0.225749634146823,0.332129780132486,"positive"
0.454732927164815,0.357564967885791,0.120437811809503,0.374804927037719,0.12357272973598,0.0758539889183834,0.174065544905896,"positive"
0.69447868142766,0.547191705646254,0.208663853738139,1.80503177144313,0.793271492737502,0.431146992776565,0.535965145858151,"positive"
0.576530050964623,0.441835538912743,0.176635999826117,1.11255812490746,0.362503157797271,0.255757298312562,0.333368064237199,"positive"
0.606673993482684,0.484578808365144,0.162395891167841,1.0125745180907,0.453337587537403,0.212862945060048,0.309701203487306,"positive"
0.581516247027042,0.460135063041829,0.165829192831173,1.05704639284159,0.360108741472507,0.18710311009287,0.241612806307474,"positive"
